"","date","cumTime","centerE","centerN"
"1",2009-01-18,0,0,0
"2",2009-01-18,0.999839999887627,0.018,-0.066
"3",2009-01-18,1.9999199998565,0.01,-0.078
"4",2009-01-18,3.01655999984359,0.03,-0.213
"5",2009-01-23,123.733199999901,-0.381,-0.383
"6",2009-01-24,147.716639999882,0.305,-1.133
"7",2009-01-25,155.699999999895,-0.793,-0.307
"8",2009-01-25,163.699919999926,-0.794,-0.303
"9",2009-01-25,171.699839999957,-0.794,-0.31
"10",2009-01-26,179.699999999895,-0.792,-0.302
"11",2009-01-27,219.716639999882,0.13,-0.374
"12",2009-01-28,227.699999999895,-1.21,-2.813
"13",2009-01-28,235.699919999926,-1.332,-2.881
"14",2009-01-28,243.699839999957,-1.333,-2.856
"15",2009-01-29,251.699999999895,-1.332,-2.854
"16",2009-01-29,259.699919999926,-1.333,-2.854
"17",2009-01-29,267.699839999957,-0.95,-2.671
"18",2009-01-30,275.699999999895,-0.895,-2.525
"19",2009-01-31,299.699999999895,-1.333,-2.853
"20",2009-01-31,315.733199999901,0.36,-3.641
"21",2009-02-01,323.716559999913,-1.108,-3.47
"22",2009-02-01,331.716479999945,-0.654,-4.32
"23",2009-02-01,339.699839999957,-0.694,-4.441
"24",2009-02-02,347.699999999895,-0.687,-4.45
"25",2009-02-02,355.699919999926,-0.693,-4.458
"26",2009-02-02,363.699839999957,-0.687,-4.453
"27",2009-02-03,371.699999999895,-0.681,-4.405
"28",2009-02-03,379.699919999926,-0.686,-4.448
"29",2009-02-03,387.699839999957,-0.69,-4.444
"30",2009-02-04,395.699999999895,-0.471,-4.313
"31",2009-02-04,403.699919999926,-0.693,-4.447
"32",2009-02-04,411.716639999882,-0.677,-4.469
"33",2009-02-05,419.699999999895,-0.39,-4.507
"34",2009-02-05,427.699919999926,-0.159,-4.543
"35",2009-02-05,435.699839999957,-0.316,-4.577
"36",2009-02-06,443.699999999895,-0.54,-4.566
"37",2009-02-07,467.699999999895,-0.463,-5.884
"38",2009-02-07,475.699919999926,-0.454,-5.875
